Random,2,0.1,0.1,0.8,147721993
Normal,2,0.1,0.1,0.8,117470991
Random,2,0.5,0.5,0.0,230537201
Normal,2,0.5,0.5,0.0,237306201
Random,2,0.5,0.25,0.25,348658624
Normal,2,0.5,0.25,0.25,4297683730
Random,2,0.9,0.05,0.05,416476255
Normal,2,0.9,0.05,0.05,367541169
Random,12,0.1,0.1,0.8,437559003
Normal,12,0.1,0.1,0.8,475749889
Random,12,0.5,0.5,0.0,568644887
Normal,12,0.5,0.5,0.0,540246765
Random,12,0.5,0.25,0.25,628271274
Normal,12,0.5,0.25,0.25,2638891258
Random,12,0.9,0.05,0.05,602368234
Normal,12,0.9,0.05,0.05,653942928
Random,30,0.1,0.1,0.8,3150449493
Normal,30,0.1,0.1,0.8,5192357922
Random,30,0.5,0.5,0.0,1228297222
Normal,30,0.5,0.5,0.0,1220378216
Random,30,0.5,0.25,0.25,2151377527
Normal,30,0.5,0.25,0.25,3287600278
Random,30,0.9,0.05,0.05,1458064233
Normal,30,0.9,0.05,0.05,1878534876
Random,46,0.1,0.1,0.8,3312453539
Normal,46,0.1,0.1,0.8,5323936510
Random,46,0.5,0.5,0.0,1401661469
Normal,46,0.5,0.5,0.0,1443303694
Random,46,0.5,0.25,0.25,1524256107
Normal,46,0.5,0.25,0.25,1438317256
Random,46,0.9,0.05,0.05,1608325478
Normal,46,0.9,0.05,0.05,1635587320
