Random,2,0.1,0.1,0.8,3075213673
Normal,2,0.1,0.1,0.8,3117554968
Random,2,0.5,0.5,0.0,4494506128
Normal,2,0.5,0.5,0.0,4969151711
Random,2,0.5,0.25,0.25,6216183491
Normal,2,0.5,0.25,0.25,6225003184
Random,2,0.9,0.05,0.05,6649020270
Normal,2,0.9,0.05,0.05,6249628751
Random,12,0.1,0.1,0.8,812968364
Normal,12,0.1,0.1,0.8,816953989
Random,12,0.5,0.5,0.0,1027675357
Normal,12,0.5,0.5,0.0,1010411894
Random,12,0.5,0.25,0.25,1194441277
Normal,12,0.5,0.25,0.25,1246465372
Random,12,0.9,0.05,0.05,1849203873
Normal,12,0.9,0.05,0.05,1827941918
Random,30,0.1,0.1,0.8,1896542463
Normal,30,0.1,0.1,0.8,3522077403
Random,30,0.5,0.5,0.0,1110906383
Normal,30,0.5,0.5,0.0,1071470412
Random,30,0.5,0.25,0.25,3642036991
Normal,30,0.5,0.25,0.25,3203925929
Random,30,0.9,0.05,0.05,3023982472
Normal,30,0.9,0.05,0.05,1387226402
Random,46,0.1,0.1,0.8,1243855312
Normal,46,0.1,0.1,0.8,1212251960
Random,46,0.5,0.5,0.0,1115005175
Normal,46,0.5,0.5,0.0,1092856953
Random,46,0.5,0.25,0.25,1244885199
Normal,46,0.5,0.25,0.25,2262861812
Random,46,0.9,0.05,0.05,2285035081
Normal,46,0.9,0.05,0.05,2191810780
